Utility to process github logs
Going to process projects/top_C++/rethinkdb/all_log_nomerge_function.txt 
---------- rethinkdb ------------

COMMIT: 7286b9fb094575d401b5826493d592ed31b8ee8a
COMMIT: 9e7b377b0867cf69907755be85f59af2f2c76880
COMMIT: b9c24cebea4ac7e916f14823ed7fc48a2114c141
COMMIT: cb023f427fd90c638f0290fd9ca3c9a44d48186a
COMMIT: 7af1961b46081b3fc9980e12bdc4a9aae2d86f6a
COMMIT: 14817f0fa28b75773ca9f020c9ce2db04d42f0ae
COMMIT: add9725e8047570b3381f732fb88023a9cb11801
COMMIT: c4587dccd8c9b537a43c403f114db20fe1409f3e
COMMIT: 10457f6e2daf02e6ffe54cace75884b1e73e2291
COMMIT: 0dcec8c1eb3b703e90f1345eb907f2e0bf2015ed
COMMIT: e2f8943ba80a4f43564e73271c507065c8f0a894
COMMIT: f0326ef2b32dc8ca199994fdf95463ef8ac3938e
COMMIT: ed476b4d5f05821b82c77f08791a59162e595e09
COMMIT: 2d1e38ad6e91d45531247f5e1f8b2849445a80f2
COMMIT: 902deafd69591bc57a3d2731eabb47daf3bcd3e6
COMMIT: 3318017d4ace5a1f248909e543f8b1737bbf5e34
COMMIT: e0ae315ac1f4a024e566708c747807bd43ca1c5a
COMMIT: 43e0eacfd49f84252e9865acb734f6da899d7fdd
COMMIT: 488069014aea780879742ccfdf8562976dc78aa6
COMMIT: 3c3283bf83c3ebb82e811dc49ed09b0fb00f5d4f
COMMIT: 7acf85d16c7f11a0a078265cd41e1246f46f1aa2
COMMIT: ddac92cbbf9e83e1454a08d5fbf4213dd49dd080
COMMIT: 2df7c833c88a12d1ac91b579d58574c17f512765
COMMIT: bce57c278ddb07fd94d3abf9bdc857f135011a6b
COMMIT: d07f694f593f8ecb504775a1b3d07ba6177acc78
COMMIT: 65d6955c6cf7b885f9f719b5feff7896fe680c23
COMMIT: 3a2f251514d14a9db9d015d2f231728a7139ec8e
COMMIT: 4460ff7e7fc4d8319494b509971a21cfc223a5f8
COMMIT: dac5367d72c3248076f7fdc9080f0cfb1e4c0a27
COMMIT: 7a86b127ac372d4e223bc37c284196332fefd92f
COMMIT: 81fad3697d9e7b59f4f7c88e39dd070b0ef04c87
COMMIT: f799531ed771052f09d3b8fb18be74fe079fc8ef
COMMIT: e695da853b03730fcd26ef05f04d228503678622
COMMIT: afa54f2d487187967713ea96b01487a4f470385a
COMMIT: cf8e7234b5e03156da68b0da579bf6edc080f21c
COMMIT: 94dbb94f9ae439aa1def23e482c73dc535fd634e
COMMIT: 9d8cf8e77b4f01c5006c11813871c72a36eb8b20
COMMIT: 40c6b7524e8c23297c6e704fb1c9430bca7068cc
COMMIT: d9e585e47cdb0006b257eac0c0687fc74de4631f
COMMIT: 911cd233c01dba43c189fd89a5b126991eb51c6c
COMMIT: 32c699e3239ba3c3d647c3fcdbc6ebc72c227e01
COMMIT: 2e512b67ea7640aba46ddd2fe56cadc0e95311db
COMMIT: fb77595c5e9d7523f056c95de744ae79811008f0
COMMIT: 83a57fe7193e770fa822f3fb4e2afac8db68d814
COMMIT: ff744b0e1181237098203a8e57b195a021468e4f
COMMIT: 3b8de1cfb47c2f587edaf43b6fc16e8e44ea8dd9
COMMIT: 9d396eb1ed766ea958e1ffcf78a9b3516f5017da
COMMIT: 59bfc8f287c73edb567900a878b7d089d93c7e76
COMMIT: 108696b94f1b9dc356ca808c097a27ff3973d707
COMMIT: 1f9f644840570d1f24e6df912950c6543dfa6a36
COMMIT: 3633fea9c52899ff5a8f2a4d4dbca09b24bf2c31
COMMIT: 5e0fcf2fd19c516a6f0a5b2186e605c46d0b9968
COMMIT: 4b91ec40f1df061a8ddb49826ee851138fd852da
COMMIT: e7a48d18702306eb4060b7b37d66ead75468036d
COMMIT: 1c659828e8dae8bc93c65d159f8cc2f98abb355f
COMMIT: 5e0735e76f78422bc377fb3d9285f22cb665b06e
