Utility to process github logs
Going to process projects/top_C/beanstalkd/all_log_nomerge_function.txt 
---------- beanstalkd ------------

COMMIT: fea639552ffde7cf81dded782cd33b7ea311965e
COMMIT: e1e0abdd65ffaa439b47100261d3f21286d63f11
COMMIT: e3f5c4c648fb0800ab205b46b1be28a7a5b9558c
COMMIT: b795502986320c6cd56f81cfb9c32606a24d2a47
COMMIT: 024fe3c1c0611bd66c52680f5ea9908675478247
COMMIT: 2ae48bcb7edc6245ef564a7531630df0c60145e7
COMMIT: 1938853a69f188f50dd60b4249b4a402fd297bda
COMMIT: 48610b21cfd7f950c93a836aef5748c8a200d33d
COMMIT: 75a0a7853b2c69a323819c1769e06707ea18e00f
COMMIT: 27255d3a30ad8a648b04c8f208150522f5eccb4a
COMMIT: 4a24b11cdff03eea0794d4c66eacb80dfb961501
COMMIT: 992d7a3da339a49fb47dc4c059a4e26e8981a525
COMMIT: 96d18c7fb90f5c454bbbdea9e1702c34b4f46ad5
