Utility to process github logs
Going to process projects/top_C/openFrameworks/all_log_nomerge_function.txt 
---------- openFrameworks ------------

COMMIT: 7bc177cdb12a0f3df6c61a086567e225a987294b
COMMIT: 9d47dc0f92990b159129109e26f3d601442c1c18
COMMIT: 30bec8cc2b69a30c5d8023fd358f96b38b774ebb
COMMIT: 3a0da9139eae4be305a1ae9638a943e96b375a10
COMMIT: 740fb1902cc59c982aab32d08d9bfbd1e6c91c24
COMMIT: b8a6f0f65a8f69177fb9f9a7735ca03d7ec518b9
COMMIT: 450371b6285ddf92ec2597764ae7650153527a5d
COMMIT: df8c92cb3966e4d8062c850981b641aa5b4a9f43
COMMIT: ed6115fe0060e385a6e374bfe017dc9e40a423d4
COMMIT: ad8e446f73c02542e16a249796df2a9edc9620c6
COMMIT: d1c49fa5c00717fbb3c23ae54ae7cd93df31b276
COMMIT: 225960528c0d696c2987fda634a183a1da59f47e
COMMIT: 359cc7805045190368ef6430f9215271fcf54ec4
COMMIT: 3ecb443fd41bdf954af8d4fcace5d022b6f5c652
COMMIT: 0ba6fac05fb423e16c003a55a7d271a54703c234
COMMIT: c42a91b81e229b561a015f83f2eec62fba73b8a4
COMMIT: 912cd96a8cca60d31abe2624fcce6736f5f393f5
COMMIT: f5716883a1609550ea76d4b204b57cce40937f0d
COMMIT: c66f65a2b9859bbf6e030e88585269e7b59a4781
COMMIT: 645f7846b7cb00cb1e5aa1e314c8d009a93d2e2f
COMMIT: 6faee6847d23ba7d6676eb9dcced74c06b3db2a2
COMMIT: 39f30096d5bb63f858a9b2ed79f4b3f27ad74111
COMMIT: 637a8a01e44747f25d4ebd2ed46c5a373b4cc7bd
COMMIT: 4a2bb39c4663297d5db42c28bf0af0300b3f240d
COMMIT: b54072329152ce9f522ad8a1536278fb9e3231d5
COMMIT: 0e514ed3e2f34d11d9cf946be0f9650cb942f3e9
COMMIT: cc3dc917884a09fa057afaa14b5555b994b1dfb4
COMMIT: cd15428b36a0c4e1ec72f95b38547c05dcbaa64d
COMMIT: 24fc1c0ff8bc8ceb681bf86a21aef7accd6fc0c2
COMMIT: 2d7e3c9177c873382667a5a369765d0dfe8877ab
COMMIT: 14c306be1c418bf85dad85d0c751a7b81feccb8d
COMMIT: 87f5b37e3443fb489709a9382da4e32bf471bf56
COMMIT: d2ef230ada8918b91571d597b955238bf2b4b06d
COMMIT: 6e702b092ed6d4f941a29a2e6a934412e8ef8a91
COMMIT: e22c4afa87500b648d16e5995464f6caf6ddc699
COMMIT: 598186f8ce087109fc7124277e25f156c3e88f53
COMMIT: 875c5d32623d7b16945a2525bf778d3a04996d06
COMMIT: 376e33397f383e3ddeb6fab10c2f46bc37cb0f38
COMMIT: 67a6b04b93f5eaab20b6411e8b34a39a5439a120
COMMIT: 1b403c0926db2951eb50a5dda5c6e89784637ff2
COMMIT: 758e6ba08ae03fbd6f0683d838d3fa257d04c7d3
COMMIT: e43ad0fcba088d24659f2517dbc035ea084bd7a2
COMMIT: ac3319f883343be2bb740162942ea2a742733741
COMMIT: b4cfbed4694703ed9b57964094c456ac27cac15f
COMMIT: 0e6ce6071fbad95273e76faa8f67ff3fe476223a
COMMIT: f2ec0e4d8460712aee9689143d1f6e6175b966b0
COMMIT: 90ba81d121e5b5eca6c12a05ced7e39d03b7c61b
COMMIT: 486859ebe70ea069143c2a7394ea2ec0219fa5c1
COMMIT: 40d6fb6c7146c0b79bbd215e729b69c4eb04f6bf
COMMIT: 4ecb82dc2f651aae231a826a199dca77ecca7a4b
COMMIT: 2be2f8cfbb3a79e4700e8377b5ac548149d1bedc
COMMIT: dc5aa931baa4a3ab9cf5afcb65a53a586da18d8a
COMMIT: 0d6ec9a76297b82ddb61bc92d45a0b6ca4a5c420
COMMIT: a579b9672a727519cd6e0420f77f8ce5a99c193b
COMMIT: 371510a70a166e11b7e4bcfc43834bc70b033936
COMMIT: 00bbe1b794d9c50a5277ad51d893a530f6dd32ef
COMMIT: 592bf7105fc8242050d0111d432e215e4addc0a0
COMMIT: e28934e3762ba1f598b9b1181cd1883a2a6e4a8c
COMMIT: 137b66d1df5327ea967c4a654ae11b6453c800a1
COMMIT: 99ff8aab346b775323230eaf23d54d621dfa348d
COMMIT: 87f6afe66e8f644d465acf105f60951454ea293e
COMMIT: b8b2d0b00115e799af69c62337026213740d4cde
COMMIT: 86afff50786243adac34cac8794c0828fb71ac12
COMMIT: cf97670f18c8f8a96ce152b75997715ad5cccd76
COMMIT: ae0f9976e3e9a71ca7b16e83a3524f8caec4f840
