Utility to process github logs
Going to process projects/top_C++/Polycode/all_log_nomerge_function.txt 
---------- Polycode ------------

COMMIT: 496961ce73d8d5ebe73791ec7a0c61523290cca2
COMMIT: 2b81a11bda8b7b84d3066db80a18537f1b78d6f7
COMMIT: 912f42e31d21a5bc156af686a9dd362bf53a29d9
COMMIT: 42108bb57bac8f49189e6ea5e8237ee6029a6839
COMMIT: fa1b054f01f701421ebe6cd8465294a8623416cb
COMMIT: b7d3d5b0968466006f448966ab4483fea00b81d7
COMMIT: fc92ccdb5d603692bbe0e1b1c2af60e0c0393739
COMMIT: a0e54ada27b861ede6c1bd9da40913dfdbaf95f8
COMMIT: b60472479c3d09c0e53e2f4c771adc62283a8ab7
COMMIT: 6787ee41f652545b3f789f8cad40a02b8b762f63
COMMIT: ca05ac1572e3f3a506af3bc5d02db2479e32e33a
COMMIT: 99513fa3a4699c0ca07c96b21094c11c7aa0cd5d
COMMIT: c5634e57350896fba1309859f81f0ac83dd42524
COMMIT: 8483490abf1cb9e9660999fadb59130747cff722
COMMIT: 0b76b19e29bd04d231b615ad0f42aa3f62d73851
COMMIT: c51a3253161aea35155432f44c0c9496a4ede5f6
COMMIT: 80a1443ba0d7c0081bbfa5001e87b9b0ebf31ae4
COMMIT: 72f3e20460ae66a739fa86d3ef6138e6526479d3
COMMIT: 32a32234b363380df58800465e34930994957f7e
COMMIT: d3458b48a11fad70afd2d2f9efe956e11ef0086c
COMMIT: 3e7e35152534b0b6b6e114020379b7e90ac29d15
COMMIT: b5bb40045f8d6230884c791317537dbad9bfc43c
COMMIT: d0c9df43adbf81477724a1b9944eb65bb3b3d9da
COMMIT: d8d788f480687f3f34c9dfa52b92e0fbc79e52e5
COMMIT: c5884954d548a1b1a84e4cc1d15c18d157421abc
COMMIT: b17ab54c9e20d886fbfdffad83ed3c1205a88fe9
COMMIT: bfec4da3396e2b1b1e54337e00eaa08a7056e75f
COMMIT: f16ba263591245e8fb7e4eefd777758017fe9b44
COMMIT: 00d146334f123998b84b33a2ca14b1882a92c27d
COMMIT: aef4f6fcbf50caca88a4a8c00a20138432164c5e
COMMIT: 4982827b677d02b0f9fa3e8205f5cd02b77f918f
COMMIT: 87a85e1651e8f961f8f343527b064b77eda01ea6
COMMIT: 122c804485683095b2b7f2571f7615ec3bde55e3
COMMIT: 04fc32a398a1406b92560740d5586b4deab67ad1
COMMIT: 51e208841fcb7d42dc22fdde854bf6ce245dd8ee
COMMIT: 4f60bb29fb35e22f5fe4b4ba8ca438f9927c2785
COMMIT: 5516dc7884c14170e06a6a05c45b1193ff66a845
COMMIT: 72aa1b9942f68879cc0ec74b1b54ce40ede5e2bc
COMMIT: 6f1ff51c617e8e6d8af14b2769ae2fc335277b0b
COMMIT: b2fa7919c8035b9860640d3584aa302b2902dd9c
