Utility to process github logs
Going to process projects/top_C++/pdf2htmlEX/all_log_nomerge_function.txt 
---------- pdf2htmlEX ------------

COMMIT: 0b2bbbfa2eb048854562414b6a25613370a31b2b
COMMIT: ed82bed2c3e7ef5df543a09735f7f5aa119d713b
COMMIT: 7275ebde8b1c93d04353089e67e54c14b2111aff
COMMIT: 09ae5415a3ecbc7b68cd7811f6ad4883ff22db44
COMMIT: e3706538b866319fd896bd3418c6e8ba2bb969bb
COMMIT: 7d8775ea53e283749b0d08f9ff9042a2bc2e307c
COMMIT: 793c781e2b7ecbee1472e3f92636b6daad915b6a
COMMIT: 8a9d3225e50f44a358fbf0a757564be27bc0069b
COMMIT: f9a9ef27198b43a7884c67a578fd156bebe09b9a
COMMIT: 7cc6f1efcd3218b762f6e596a20a3ce7d5db3acf
COMMIT: add45cde747cabf0951f36e16428a760e0714752
COMMIT: 59f49cccbd1661ae97534d2a5e6d6b65103e3fd6
COMMIT: 5102e8c3e081a44f46bad4083d5c6ff746c0d573
COMMIT: eaa3b35cfd857f7a4caadffb9130d768155b6fc7
COMMIT: adefede6601f01f9613000eb7531504e00434aac
COMMIT: 65fa519f2c689807b3052178307d0d7f2d4cb08c
COMMIT: 78fe4b99e8dd6111b26de8f836e898fa2c568dfd
COMMIT: 3f962b5a9c97cdbf296f59183ce5dba20f0e8f02
COMMIT: 2c96e52626d88a72785704720e00c6c41ea5eab7
COMMIT: 0f6e8879d137d5f0e8b099e2c3b4f05e5629802a
COMMIT: e454d784bd582277e900565ad779684f8a1d7b52
COMMIT: 472b3564e6b773d1d1de5440794bc8404fd49978
COMMIT: 99213d4e0bf3c6a7e063122d0aa2b37ae63c3376
COMMIT: b1121bf02bf93bdb0d006139f686b932f0cba22c
COMMIT: 495b04f0465815874f2f95dc9a2b14d3443ae175
COMMIT: c24e10064c32570fe8ada15fe3507af68e1f55ff
COMMIT: 7857527e9e5cd350a4d12e2e34ee800a778bdac7
COMMIT: ffd4072aa80056fa814d73836a8f4912d82df411
COMMIT: 8942f92a9c5e2bf41b5e690892c26453cccdd757
COMMIT: 88c18d56d61993610c521e6791adbc95d1f64b9e
COMMIT: 3bdb8fdacd0b42a524a19186a71f086798ee2c84
COMMIT: 6b9b12afdd880473310f1bff96570d382c5108a4
COMMIT: 9531a3d8c278c9d2a3a2f6bc2363be3808da5012
COMMIT: 19a86e98bf4afcced47f5f17bb4e439d9dae3eba
COMMIT: f8ee702dfeda53307f29c130ed80be7277d0ee64
COMMIT: 90d99d5000d089e20b5e3d365a1d0cfe124112e3
COMMIT: 21a57dc324cfa370322ec83578dfc11e2d927a19
COMMIT: ab884e8dd49e870f9e765e70a612d2653e7f1c91
COMMIT: 821a65ac73619d455f9a865dff55bcc614901370
COMMIT: 8ef466714e0d03a30bbb3efdeb71258bd7afa32f
COMMIT: b83611bd65e52799b0ea0474b629b0cb29bf52d3
COMMIT: 6298c19a3b4667d2a775c709749d96a6e77ebc25
COMMIT: ccc8ff4761446a10d9946f49456a158ec007755e
COMMIT: c0972e1baa336792d86aec698d19d113b1c3f7c0
COMMIT: 3cafb540c62b53e93b5e5c07fa54c96ab6ddd929
COMMIT: 83c947462a2f5b599003c36a182f634a7f7e92ee
