Utility to process github logs
Going to process projects/top_C/numpy/all_log_nomerge_function.txt 
---------- numpy ------------

COMMIT: 41690fcf9bff30cb3d49d8c147bca1f595bfa70b
COMMIT: dd05022ba5ccb4959662c99ac4b5e1363d09f920
COMMIT: 6834b3a2da002eccc279a9e9a594713a467cc483
COMMIT: d849245b44417e3e632a19a5e04a627ca6434887
COMMIT: 28eb575c0c73a2061942b72b80ff6c43a67a431a
COMMIT: 57330377d914e163389d66cf644915f851f37242
COMMIT: 75c2d2fe3cc9daa6589707fb6b8512ffa48fc365
COMMIT: 823ff90d0783fa89ab8a16e646a05803d973c4e4
COMMIT: f43dee7e4ffbe06eaa8d116d405d0b12f2e3b468
COMMIT: 684b159e583ad1c8c658cf128661169bfdfc10c3
COMMIT: 6b05a67b7d1f69e219f34b693fc893da07e9b506
COMMIT: 6e141d70edf8872a42cefdcbad49725a5a882467
COMMIT: 1951d3d4c1011132560ae4326f636e5cef01d918
COMMIT: 67b95a3e7a4d54b4fa255b693f569b5d463e3e19
COMMIT: 8ff4c66af5d054ec901f74909a995fd8c31900ef
COMMIT: b731d4dd67f5c6851eb439d50b3606d23c371c64
COMMIT: 1d1803257467c554db208a24b857d613b872b9bd
COMMIT: 46dd681ff4aed02a87b27db684f8600b5b7a7fa3
COMMIT: 773c8f3ff8c1ca2377253bc0c003a795a242b596
COMMIT: eed68a8e7c32c7cafceda26bf13bbb702b5af1fa
COMMIT: 5bd9fbfdea2bb6426508323b7943d67db679dcc5
COMMIT: 0221385a2ff60fd836c9c21fbc7c89e6fdac6da0
COMMIT: 819597324c4cf4333120cdf951983681f0732ead
COMMIT: f30cecb89264660b5818fedaf7ce1fbb3e35050b
COMMIT: a0568165ecc19a60eb47e1b936a0c7c0a1e83501
COMMIT: dcfe3260e2d6d9de7a2c3fb0022ecf124faa2ae2
COMMIT: 41f2a26efc9f7853a8f00db3a6cd1f6ee855318c
COMMIT: 7b124cf705daf8a1a1da99a99f8ac34ea36c2d24
COMMIT: 23065cf8fd7b5851592918c765de2ccf459b2683
COMMIT: c86daba7ba4371906115892e837fe33105452023
COMMIT: 14153dc41baae421e429ce6295267763a571172a
