Utility to process github logs
Going to process projects/top_C/cocos2d-x/all_log_nomerge_function.txt 
---------- cocos2d-x ------------

COMMIT: 0ab464a87909293880427f20d286b3119e8219db
COMMIT: ba7c5fe97d721f37ed8c27ef41f753a7aff4beab
COMMIT: e757fa94a8af9ecd5540f615a5a392a1870d4906
COMMIT: cf03ce7252d0e1db5ff5982c1c83f65e07dd7e1d
COMMIT: ff72dc7dbb335c7bc06c6c188017854e35927617
COMMIT: db6578d263c2028756a366f135569083a0416e28
COMMIT: 93c83efbfeb3ad65f7e4d215d5c96d88d51302fa
COMMIT: ea581610f920a1acaea272ca9399cab7a793660d
COMMIT: 4d7fba95258792f70b8c38d27df51e9cacac25a0
COMMIT: 3dace30b73c082b503f3205a1c43a78fa4e1aa27
COMMIT: 81e76b2e1abe4b6ad8924947912a4ac1720fd802
COMMIT: 912bb7e32a8283dc4b306c2cf9a289cd981a91d1
COMMIT: 66999fd582d974ed2e2ebbf88e6c312cbf3afdc8
COMMIT: 77952cf9d8f8f9573d9283a74821f351509acf57
COMMIT: 83c196da57a943abebe917d478db83679fe4a2c5
COMMIT: 9be08976d519a8935742d12690470c7a49c84d49
COMMIT: ebcae48eed2282d52e7c5bedd5977d357020cc1c
COMMIT: d5a2e8fd3c899b0777380f6b588a199ee77a1bf1
COMMIT: d99c27f99ae2a41e473c743d7eec118415b324d7
COMMIT: aa5945838ad5f13376855e0932ca506c68ebf8a3
COMMIT: c0eb98552e81f043928a106042467c74e6e94820
COMMIT: 7aece4c05ca28c3961ec09edb4df0cc087fbb289
COMMIT: f29252c199ac009ed6e4c4c5cef42cc6d95cd6a7
COMMIT: 7707e89cfc6dbcbb6be8014363a396bc7d866e9b
COMMIT: fb737a713ef77f443408e382d8b3669b03589500
COMMIT: 5434d6b01473c9c6cd6e9b539c2ce0b5a3f8f26b
COMMIT: cbbdd46f8c7b02403af8bcedd789ee6bfdf495a7
COMMIT: d3337da5be035a011d544866258e67eda9317a85
COMMIT: fc1738a08b3d988e9ce43bc6a61784449974bf5e
COMMIT: f746a2a228b43172e52c217fe9830bfbeeb91a02
