Utility to process github logs
Going to process projects/top_C++/node-webkit/all_log_nomerge_function.txt 
---------- node-webkit ------------

COMMIT: a79befbd67d199bf9714ffe02dc4ca93299dd411
COMMIT: d1fc07cfd54aac59a5ed234112a2ab35c8801855
COMMIT: de4730eebdf60c8464a3ba70d9e20e7f6a569644
COMMIT: ef6b52f0c7d9d397f539c56551f378bab65af154
COMMIT: 9f10cc5addd1977154803a4ddca44765eefb9c00
COMMIT: cd104ea59a52cac49555fe7cc2b1b6c9810d18de
COMMIT: 24b82dc6fd4856261c0f22f2abbab57bbe50e313
COMMIT: 66217f552fa658001c895886909ffb4265c2ebc1
COMMIT: 1bddaf99532432dcb4b4907e958bf6eb7a224218
COMMIT: fafd17a4c39ec918df964878b3cfc805dbe0e649
COMMIT: e7408ad2488c04e2ae285652a60c81b25d5fdd0b
COMMIT: 85e6f6750c21da40f6459be24000d858bf74129d
COMMIT: b170559f90673aa757db7dbfe02684c77d0efe7a
COMMIT: 89f228f625c54ee764cc0aff896875e02bfc739e
COMMIT: 96d066eeed623349322c27f4b84b77de639ec1b9
COMMIT: 42bba26ecb0e068de9d8a2159478d9e5361162cd
COMMIT: fa42176a902902901d4615339f5f0e11da6180c1
