Utility to process github logs
Going to process projects/top_C++/Torque3D/all_log_nomerge_function.txt 
---------- Torque3D ------------

COMMIT: 0e87023e46a01831b4aec857046e5dbfe888dbf1
COMMIT: d041cbbb7aebdea65ec72d8781487d00bd0d6ec2
COMMIT: 7b0531490125eae2f6df1ff3117cd360b135372c
COMMIT: c4e3a68f7c876b429ddadf54239b0164ba0d5138
COMMIT: 578c4e8f4fe02d58c0fd1905e68989d3dc3a91b5
COMMIT: 2f48f31a6f24927a7721f229f17e7b500ef44653
COMMIT: 55bdfe5dc38d540adaff96bab09d045053977f6f
COMMIT: 26c5451593233f19f7c8d432122596932ebd8bda
COMMIT: f0a16bb9e3ce457bf1118f932847b09e43937cfe
COMMIT: d6570e35333bc72cdbaea4e0bf565f8938e1e1dd
COMMIT: 8538b5fdbfad8b9509339c925c8541bc0ef09e6a
COMMIT: ad4b06f2bcd0ffc96fc9360855e5ce3bdc4c0d3c
COMMIT: 2ec5af703c313a384950f569963f92b7cdc3af3a
COMMIT: fbc9660bc3b2f5d17318e7d94586d78e41f972e5
COMMIT: d3aaabc976c3bd43e06d9931d5ee0bc4374b7489
COMMIT: 9907c4592ef20bbab05333a21619335427e6253e
COMMIT: cb161ad5fface43f87adc396adc3aaaf7898dc1e
COMMIT: a849202bdef06adb3275f29883ca157208262f07
COMMIT: a91e5a2590f437e1f2630db657e02376546df6bc
COMMIT: f348313413bf8d4719bc25694222dda5d18ab484
COMMIT: 535ad45635a90d395dd03dc6d956bb0304691f6f
COMMIT: acb192e2a5bad84d4fe72c3c71dde5f39f8c0a87
COMMIT: dc92d58692b067b719013c2a51a32d599f3bb6ec
COMMIT: a61be8783aa291feb322e7b3ad5631eda24a8537
COMMIT: f6d54d810be1d198ff804737a55082a518144a34
COMMIT: d12310602d4bad23b333494c546e3462249344b0
COMMIT: a87a891cfc88cc153304b8c4c42c4d235e4bfe22
COMMIT: 6009ac3568714d39094a2ce26be3673d1d9f6640
COMMIT: e209cc4389d48671163e7037e9b9123a48287541
COMMIT: 19f91fee2b37fb5d22c62289e05296818855d073
COMMIT: 355ce5d85475ce4637c130b20fa575902d678378
COMMIT: a4f7182de57b17959320da414d7689edeb3a6fb0
COMMIT: 4fb820c3ef21d8ccd7a72440bfd0ede2b354e952
COMMIT: 0dde7022c20a195729d20ec494b87147da59018a
COMMIT: 62006e8b3c5971fd2fde47075ae43d4b6bd642a7
COMMIT: d9c5670e935d79b18e5957a69f8be4e16fc04079
COMMIT: c23f3fbd9fef98f8346f0939989f1089b276118d
COMMIT: 156aacf8b8ba9a099475cbfa04245a758fecc262
COMMIT: a22254ad0a8e66f74e157cb867c96b32461e7b8a
COMMIT: 06a4db295aeadd5635b6c36c215e625872d22386
COMMIT: 46ffb3455bd4fac75027c0f1fc7926e541a90959
COMMIT: d5c42d0d44f2cddc2dccbcb677bacec508eeea06
COMMIT: bedde94a9f0898639c256b702f2f98326b305648
COMMIT: fae1bad96c277f0f5fe9dbd6f00b7441999837e0
